Bio,Current_Title,Conferences,Affiliation,Education,Name
,acting director and senior research scientist,"Description Logics
(15),IPAW
(10),AI Magazine
(8),IEEE Intelligent Systems
(7),International Semantic Web Conference (Posters & Demos)
(6),OWLED
(5)","Knowledge Systems
 (KSL) Artificial Intelligence Laboratory 
 Stanford University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Rutgers University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of California </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering and Computer Science </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Duke University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science and Mathematics </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",D. L. McGuinness
,,"KDD
(4),PKDD
(3),ISMIS
(3),Advances in Knowledge Discovery and Data Mining
(2),KDD Workshop
(2),Intell. Data Anal.
(1)",,,Willi Klosgen
,Professor,"RAID
(12),KDD
(10),IEEE Security & Privacy
(6),DG.O
(5),ACSAC
(4),Journal of Computer Security
(3)","Department of Computer Science 
Columbia University 
",,Salvatore J. Stolfo
,,"TMRA
(4),Artificial Intelligence in Medicine
(1)",,,Jack Park
,Professor,"SSDBM
(6),J. Intell. Inf. Syst.
(6),IEEE Data Eng. Bull.
(6),CIA
(4),
(4),Wissensmanagement (LNCS Volume)
(3)","Information and Software Engineering 
Volgenau School of Information Technology and Engineering at George Mason University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Case Western Reserve University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""> Engineering </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Wisconsin-Madison</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Case Institute of Technology</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""> Engineering Science </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",L. Kerschberg
,Thompson Hine LLP,"Journal of Visualization and Computer Animation
(2),CA
(2),HICSS
(1),Graphical Models
(1),IEEE Trans. Vis. Comput. Graph.
(1),Pacific Conference on Computer Graphics and Applications
(1)","2000 Courthouse Plaza, N.E. 10 W. Second Street
Dayton, Ohio 45402","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Ohio State University Moritz College of Law</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Ohio State University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1983</td></tr>",S. A. King
,,"Statistics and Computing
(2),IEEE Trans. Pattern Anal. Mach. Intell.
(1),Biological Cybernetics
(1)",,,D. H. Foster
"EDUCATION,Ph.D. in Computer Science, Columbia University, New York, New York (1996),Thesis: An extensible meta-learning approach for scalable and accurate inductive learning.,M.S. in Computer Science, Vanderbilt University, Nashville, Tennessee (1988),Master’s paper: A critical review of CN2: A polythetic classifier system.,B.S. in Computer Science (summa cum laude and honors program), Southwest Texas State Uni-,versity, San Marcos, Texas (1986),Honors thesis: Development of Efficiency Decline Routine.,RESEARCH AND WORK EXPERIENCE,Associate Professor, Dept. of Computer Sciences, Florida Institute of Technology (2002-present);,Assistant Professor (1997-2002); Visiting Assistant Professor (1995-97).,Visiting Scientist, Laboratory of Computer Science, Massachusetts Institute of Technology (2002-3).,Research Assistant, Dept. of Computer Science, Columbia University (1988-95); Dept. of Computer,Science, Vanderbilt University (1986-88).,Research Intern, Siemens Corporate Research (Summer, 1993); GTE Labs (Summer, 1992 & 1991);,Citibank (Summer, 1990).",Associate Professor,"KDD
(6),ICDM
(3),Machine Learning
(2),FLAIRS Conference
(2),WEBKDD
(2),ICML
(2)","Department of Computer Sciences
Florida Institute of Technology
Melbourne",,Philip K. Chan
"One of the organizers of the 2006 Machine Learning Summer School, Taipei (MLSS 2006 Taipei),used to be Adjunct Assistant Professor at the Department of Computer Science and Information Engineering at National Chiao-Tung University from 1999 to 2000,used to be Assistant Professor at the Department of Computer Science Engineering at Arizona State University from 1996 to 1998,both his M.S. and Ph.D. in Computer Science from the University of Southern California, USA in 1992 and 1996,1993-1996 Research assistant at the intelligent systems division at the Information Sciences Institute (ISI) of USC,B.S. in Computer Engineering from National Chiao-Tung University, Taiwan in 1988 ,2006合辦 台北機器學習研習營,1999-2000做過交通大學資訊工程系兼任助教授,1996-1998做過美國亞利宗那州立大學電腦系助教授,亞利宗那州立大學 台灣研習社 及 同學會 指導教授,1996年12月美國南加大電腦博士,做過美國南加州 台文通訊 讀者聯誼會會長,做過 北美洲台灣學生社 Internet Subcommittee,做過 南加大台灣同學會 執委,1994年在美國洛杉磯縣San Gabriel 結婚,做過南加大ISI研究助理,交大計工77級",Research Fellow,"BMC Bioinformatics
(6),ICDM
(4),Machine Learning
(3),ICML
(3),Bioinformatics
(2),Data Min. Knowl. Discov.
(2)","Academia Sinica, Institute of Information Science, Taiwan ","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">the University of Southern California</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1996  </td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of Southern California</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1992</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">National Chiao-Tung University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>",Chun-Nan Hsu
,Director and Research Professor,"AAAI
(10),AAAI/IAAI
(10),GIS
(8),J. Artif. Intell. Res. (JAIR)
(7),IJCAI
(7),IEEE Intelligent Systems
(7)","Information Sciences Institute
Department of Computer Science
University of Southern California","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Carnegie Mellon</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Carnegie Mellon</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Syracuse University </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>",C. A. Knoblock
,,"ISMIS
(1),SIGMOD Conference
(1),SRDS
(1)",,,M. A. Merzbacher
,Distinguished Professor,"IEEE Trans. Computers
(9),ICDE
(6),CIKM
(5),ER
(5),IEEE Trans. Knowl. Data Eng.
(4),J. Intell. Inf. Syst.
(4)",,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Stanford University </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1966</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Michigan </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1961</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Michigan </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1960</td></tr>",Wesley Chu
,"Department of Computer Science 
University of Helsinki","Library Trends
(1),ADL
(1),PODDP
(1),EP
(1),DEXA
(1),PKDD
(1)","Department of Computer Science 
University of Helsinki, Finland",,Helena Ahonen
"Jiawei Han is computer scientist who specializes in research on Data Mining. He was the 2009 winner of the McDowell Award, the highest technical award made by IEEE.,He is currently a professor in the Department of Computer Science at the University of Illinois at Urbana-Champaign. Previously he was a professor in the School of Computing Science at Simon Fraser University. He is an ACM fellow and an IEEE fellow.",Professor,"KDD
(50),ICDE
(43),IEEE Trans. Knowl. Data Eng.
(38),ICDM
(37),SIGMOD Conference
(32),VLDB
(21)","Department of Computer Science, University of Illinois at Urbana-Champaign","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Univ. Wisconsin-Madison </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Jiawei Han
,Professor,"ICRA
(2),Systems and Computers in Japan
(2),DaWaK
(2),HICSS
(2),ICSENG
(1),Geoinformatics
(1)","Nanzan University, Japan",,Hiroyuki Kawano
,Professor,"AINA Workshops
(15),SAC
(13),MDM
(12),Systems and Computers in Japan
(11),DASFAA
(10),SAINT
(9)","Department of Information Systems Engineering
Graduate School of Engineering
Osaka University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Kyoto University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Kyoto University</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Kyoto University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Shojiro Nishio
"Heikki Mannila received his Ph.D. in computer science in 1985 from the University of Helsinki. After some time at the University of Tampere and various researcher positions, in 1989 he was appointed a professor of computer science at the University of Helsinki. He was a visiting professor in the Technical University of Vienna in 1993 and a visiting researcher at Max Planck Institute for Computer Science in Saarbruecken in 1995-96. He moved to Microsoft Research in Redmond in 1998, came back to Finland to Nokia Research in 1999, where he stayed until the end of 2001. After that, Heikki Mannila was the research director of the basic research unit of Helsinki Institute for Information Technology in 2002-2004. Since 1999 he is a professor of computer science at Helsinki University of Technology. In 2004-2008 he was an academy professor. In 2009 he was the director of Helsinki Institute for Information Technology HIIT, a joint research institute of University of Helsinki and Helsinki University of Technology. In 2009-2012 he was vice president for academic affairs at Aalto University, a new university formed by the merger of Helsinki University of Technology, Helsinki School of Economics, and University of Art and Design Helsinki. Currently, he is president of the Academy of Finland.,Heikki Mannila is the author of two books and over 190 refereed articles in computer science and related areas. His specific area of interest is in algorithms for data analysis, and applications in science and in industry. The book Principles of Data Mining, with David Hand and Padhraic Smyth, is available also in Chinese and in Polish. He received the ACM SIGKDD Innovation award in 2003 and the IEEE ICDM research contributions award in 2009.",Professor,"KDD
(25),PKDD
(13),SDM
(9),Discovery Science
(6),ICDE
(6),ICDM
(6)",Helsinki University of Technology,,H. Mannila
,,"ICGI
(1)",,,Erja Nikunen
"Dr. Chid Apte is Director of Analytics Research in the IBM Research Division, at the Thomas J. Watson Research Center in Yorktown Heights, New York. His department's research agenda is focused on Data Analytics and Business Analytics research. In addition to maintaining a basic research agenda in Statistical Modeling & Forecasting, Machine Learning & Predictive Modeling, Data Mining Systems, Decision and Stochastic Analysis, his teams are engaged in several solutions initiatives focused on Customer Insights & Market Intelligence, Workforce Optimization, Risk Management, and Healthcare. Chid has over twenty five years experience as a research scientist and technical leader in the data mining and business intelligence industry with significant experience in predictive analytics solutions for insurance, finance, retail, manufacturing, and healthcare. Chid has led several projects to develop analytics extensions for IBM's Information Management portfolio and data mining solutions for IBM's clients. He received his Ph.D. in Computer Science from Rutgers University, and a B. Tech. in Electrical Engineering from the Indian Institute of Technology (Bombay). He has published extensively in his areas of expertise, and actively involved in organizational aspects of leading data mining conferences.",Director of Analytics Research ,"KDD
(3),IBM Systems Journal
(3),IBM Journal of Research and Development
(2),IEEE Intelligent Systems
(2),PKDD
(2),AAAI
(2)",IBM Research Division,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Rutgers University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Indian Institute of Technology</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Chidanand Apte
"Ramasamy Uthurusamy is currently General Director of Emerging Technologies, Information Systems and Services Division of General Motors Corporation. He received his Ph.D. from Purdue University. Prior to joining General Motors he was with Exxon Production Research Company where he was involved in applied AI research.  He has taught at Purdue  University and at the University of Idaho.,At GM, he leads the emerging technologies initiatives in the Global Technology Management Group.  Currently his research interests and expertise spans four major areas: Knowledge Discovery in Databases and Data Mining (KDD); Artificial Intelligence (AI); Knowledge Management; and Advanced Web Technologies. He assesses, evaluates, pilots, and develops GM specific proof-of-concepts of promising new information technologies as part of his responsibilities. He works with and leverages his extensive internal and external contacts in academia, industry, government, and relevant organizations.  His professional activities include serving on the editorial board of journals, reviewing technical publications, and serving on conference steering committees.  He is a Co-Editor of the book on KDD titled ""Advances in Knowledge Discovery and Data Mining"" published by MIT/AAAI Press in 1996. He Co-Edited two special issues for the Communications of ACM on data mining. He is the Secretary-Treasurer of the International Joint Conferences on AI (IJCAI). ,He received the ""Distinguished Service Award"" from ACM SIGKDD for his  active involvement in KDD from the beginning. He received the Charles  McCuen Special Achievement Award from General Motors R&D Center for part  of his work in GM-specific applications in these areas. He is a member of AAAI, IEEE, ACM, and Sigma Xi. He was one of the 2002 Winter Olympics Torchbearers.",General Director ,"SIGKDD Explorations
(3),Commun. ACM
(2),AI Magazine
(2),
(2),KDD
(2),PAKDD
(1)","Information Systems and Services Division, General Motors Corp.
","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Purdue University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Ramasamy Uthurusamy
,,"Inf. Process. Manage.
(5),SIGIR
(2),ACM Trans. Inf. Syst.
(2),Commun. ACM
(2),Journal of Machine Learning Research
(1),ACL
(1)",,,F. J. Damerau
"Sholom M. Weiss is a Research Staff Member with the Data Analytics Research group since 1998. Prior to joining IBM, Sholom was Professor of Computer Science at Rutgers University for the past 20 years. He is the author of many books and research papers on data-mining and knowledge-based systems, serves on numerous boards of scientific journals, and has consulted widely on the commercial application of advanced data-mining techniques. He is the author, with Nitin Indurkhya, of ""Predictive Data Mining: a Practical Guide"" published by Morgan Kaufmann, 1997. Sholom is a Fellow of the American Association for Artificial Intelligence. ",Research Staff Member,"IJCAI
(9),Appl. Intell.
(6),KDD
(4),Artif. Intell.
(4),IBM Systems Journal
(3),
(3)","Data Analytics Research group, IBM Research
",,Sholom M. Weiss
,Professor Emeritus,"International Journal of Man-Machine Studies
(12),Int. J. Hum.-Comput. Stud.
(6),WebNet
(6),EKAW
(4),J. Intell. Inf. Syst.
(3),SIGDOC
(3)",University of Calgary,,Brian Gaines
,,"KDD
(3),Commun. ACM
(2),IEEE Expert
(2),IEEE Trans. on CAD of Integrated Circuits and Systems
(2),ICDE
(1),Intell. Data Anal.
(1)",,,Evangelos Simoudis
,,"Advances in Knowledge Discovery and Data Mining
(1),KDD
(1),AAAI
(1),KDD Workshop
(1),Workshop on Programming with Logic Databases (Book), ILPS
(1),PARLE (2)
(1)",,,Brian Livezey
,"The New York Times
Travel
nytimes.com/travel
 The Best of Europe 
The New York Times Correspondents' Guide to Europe
 The Best of Europe 
Also in Travel:
 The Best of Europe 
 Visit the Italian city that gave us pizza","KDD
(2),ML
(2),Advances in Knowledge Discovery and Data Mining
(1),IEEE Expert
(1),KDD Workshop
(1),AAAI
(1)",,,Randy Kerber
,,"IBM Systems Journal
(1),ISSRE
(1),FTCS
(1),KDD Workshop
(1)",,,S. Biyani
,,"Parallel Computing
(1),IDA
(1),KDD Workshop
(1)",,,Dawn E. Gregory
,Professor of Computer Science,"UAI
(19),CoRR
(16),Journal of Computational Biology
(5),RECOMB
(3),Artif. Intell.
(3),Bioinformatics
(2)",Technion - Israel Institute of Technology,,Dan Geiger
,Manager,"UAI
(49),CoRR
(31),PLoS Computational Biology
(5),Journal of Machine Learning Research
(5),Commun. ACM
(4),Machine Learning
(4)","Machine Learning and Applied Statistics (MLAS) Group, Microsoft Research",,D. Heckerman
,,"CVPR
(4),Machine Learning
(2),SDM
(2),ACM TIST
(1),ICML
(1),ECML
(1)",,,Michael Burl
,Professor,"PKDD
(9),ICDM
(5),KDD
(5),IDA
(4),SDM
(4),ECML/PKDD (1)
(3)","Department of Information and Computing Sciences, Universiteit Utrecht",,Arno Siebes
,Senior Researcher,"UAI
(16),CoRR
(15),Journal of Machine Learning Research
(4),AAAI
(3),User Model. User-Adapt. Interact.
(2),Artif. Intell.
(2)",Machine Learning and Applied Statistics Group,,David M. Chickering
"Dr. Pietro Perona is the Allen E. Puckett Professor of Electrical Engineering at Caltech. He directs Computation and Neural Systems (www.cns.caltech.edu), a PhD pogram centered on the study of biological brains and intelligent machines. Professor Perona's research centers on vision. He has contributed to the theory of partial differential equations for image processing and boundary formation, and to modeling the early visual system's function. He is currently interested in visual categories and visual recognition",Professor,"CVPR
(19),ICCV
(18),IEEE Trans. Pattern Anal. Mach. Intell.
(14),NIPS
(14),ECCV (1)
(8),International Journal of Computer Vision
(8)",Electrical Engineering and Computation and Neural Systems,,P. Perona
,"Professor
","GrC
(22),ISMIS
(21),SMC
(16),ICDM Workshops
(15),PKDD
(13),RSKT
(11)","Department of Medical Informatics,
Shimane University School of Medicine","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Tokyo Institute of Technology</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1997</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Osaka University</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Osaka University, Medical School</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1989</td></tr>",Shusaku Tsumoto
,"Model: H1a
Specifications:
* Scale length = 650mm
* Neck width at the nut = 51mm
* Neck width at the 12th fret = 60mm
* Rosette = Hauser 1957 style
* Top = Master Grade German Spruce","Commun. ACM
(1),J. Intell. Inf. Syst.
(1),KDD Workshop
(1)",,,Kuorong Chiang
,"Director
Professor","KDD
(3),AmI
(2),AIME
(2),RSKD
(2),IEEE Trans. Biomed. Engineering
(1),IJITWE
(1)","Center for Information Medicine
Department of Systems Biology, School of Biomedical Sciences
Department of Bioinformatics, Medical Research Institutes,Tokyo Medical and Dental University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Med.</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1981</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Mathematical Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1974</td></tr>",Hiroshi Tanaka
,ClopiNet,"NIPS
(8),Journal of Machine Learning Research - Proceedings Track
(7),IJCNN
(4),Journal of Machine Learning Research
(2),Pattern Recognition
(2),CVPR Workshops
(1)","955 Creston road
Berkeley, CA 94708, USA ",,Isabelle Guyon
,Associate Professor,"IEEE Trans. Knowl. Data Eng.
(4),SIGMOD Conference
(2),IJDWM
(1),IJDMMM
(1),Intell. Data Anal.
(1),MLDM
(1)","Simon Fraser University
 Canada",,Yongjian Fu
,"Professor
","FLAIRS Conference
(27),International Journal on Artificial Intelligence Tools
(7),ICDM Workshops
(4),IEEE Trans. Knowl. Data Eng.
(4),CoRR
(3),IJCAI
(3)","School of Electrical Engineering and Computer Science, Washington State University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois at Urbana-Champaign</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of Illinois at Urbana-Champaign</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Engineering </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>",Lawrence B. Holder
,,"IEEE Trans. Knowl. Data Eng.
(1),IEEE Expert
(1),KDD
(1),J. Intell. Inf. Syst.
(1),AAAI
(1),KDD Workshop
(1)",,,Surnjani Djoko
